Day_of_Week,Time_of_Day,Weather,Mood,Social_Context,Location,Sleep_Hours,Work_Intensity,Temperature_Preference,Milk_Type,Sugar_Level,Caffeine_Strength,Cup_Size,Spend_Amount_USD,Coffee_Type
Wednesday,Morning,Sunny,Energetic,With Friends,Office,8.0,Low,Hot,Almond Milk,Medium,Light,Small,3.86,Latte
Friday,Morning,Sunny,Relaxed,On a Date,Cafe,4.6,High,Hot,Oat Milk,High,Strong,Medium,3.23,Flat White
Friday,Afternoon,Rainy,Tired,With Friends,Office,6.0,High,Hot,Whole Milk,Low,Strong,Large,5.53,Cappuccino
Sunday,Evening,Cloudy,Stressed,Alone,Cafe,7.0,Low,Hot,Oat Milk,Medium,Strong,Medium,4.95,Cappuccino
Thursday,Morning,Sunny,Tired,With Colleague,Home,5.6,Medium,Iced,Whole Milk,Medium,Strong,Small,2.98,Espresso
Monday,Afternoon,Cloudy,Energetic,With Colleague,Home,7.7,Medium,Iced,None (Black),None,Medium,Medium,4.48,Latte
Friday,Night,Sunny,Relaxed,Alone,Home,5.6,Low,Iced,Whole Milk,Low,Medium,Medium,5.07,Macchiato
Saturday,Morning,Rainy,Tired,With Friends,Office,8.6,Medium,Iced,Almond Milk,Medium,Medium,Small,6.63,Americano
Thursday,Afternoon,Cold/Snowy,Stressed,On a Date,Cafe,6.3,Medium,Hot,Whole Milk,Low,Light,Medium,2.88,Cappuccino
Saturday,Morning,Sunny,Tired,Alone,Cafe,7.5,Medium,Hot,Oat Milk,Medium,Medium,Large,4.24,Americano
Thursday,Afternoon,Rainy,Stressed,With Colleague,Office,7.6,Medium,Hot,None (Black),Medium,Light,Large,6.61,Latte
Thursday,Afternoon,Sunny,Tired,Alone,Office,5.6,Medium,Hot,None (Black),Medium,Medium,Small,5.74,Americano
Wednesday,Afternoon,Sunny,Relaxed,Alone,Cafe,3.4,High,Hot,Whole Milk,Medium,Medium,Small,3.95,Flat White
Monday,Afternoon,Sunny,Tired,Alone,Home,7.0,High,Iced,None (Black),Low,Light,Medium,6.73,Cold Brew
Monday,Morning,Sunny,Relaxed,With Friends,Home,6.6,Medium,Iced,None (Black),Low,Decaf,Medium,4.97,Cappuccino
Monday,Evening,Rainy,Energetic,With Colleague,On-the-Go,7.3,High,Hot,None (Black),Medium,Medium,Medium,4.99,Espresso
Friday,Afternoon,Rainy,Stressed,On a Date,Office,6.2,Medium,Hot,Oat Milk,Low,Decaf,Large,7.38,Cappuccino
Wednesday,Morning,Rainy,Tired,Alone,On-the-Go,5.9,High,Iced,None (Black),None,Strong,Medium,7.24,Americano
Thursday,Afternoon,Sunny,Melancholic,Alone,Office,9.5,Medium,Iced,None (Black),Low,Light,Small,4.29,Americano
Sunday,Afternoon,Sunny,Tired,With Colleague,Cafe,4.3,High,Hot,None (Black),None,Medium,Medium,3.2,Frappuccino
Tuesday,Morning,Cloudy,Tired,With Friends,Home,7.6,Medium,Iced,Whole Milk,Medium,Medium,Small,4.13,Espresso
Wednesday,Evening,Cold/Snowy,Energetic,Alone,Home,5.6,Low,Iced,Whole Milk,Low,Light,Medium,2.65,Americano
Saturday,Evening,Sunny,Tired,Alone,Office,6.0,Medium,Hot,Whole Milk,None,Medium,Small,2.6,Americano
Tuesday,Morning,Cold/Snowy,Tired,With Friends,Office,6.0,Medium,Hot,Whole Milk,High,Medium,Small,4.48,Americano
Monday,Night,Rainy,Melancholic,With Colleague,Home,5.3,Medium,Iced,None (Black),Medium,Strong,Medium,7.21,Decaf Latte
Tuesday,Morning,Rainy,Melancholic,Alone,Home,7.4,Medium,Iced,Whole Milk,Medium,Medium,Medium,6.86,Flat White
Tuesday,Morning,Rainy,Energetic,Alone,Home,8.6,High,Hot,Oat Milk,Medium,Light,Small,5.06,Espresso
Sunday,Morning,Sunny,Melancholic,On a Date,Cafe,7.2,Medium,Iced,None (Black),Medium,Light,Large,5.33,Latte
Saturday,Evening,Sunny,Energetic,With Friends,Office,6.7,Medium,Iced,Whole Milk,Medium,Medium,Medium,2.53,Cold Brew
Friday,Afternoon,Rainy,Tired,Alone,Home,5.0,Low,Iced,None (Black),Low,Light,Small,3.58,Latte
Saturday,Morning,Sunny,Stressed,Alone,Home,7.3,High,Hot,None (Black),High,Medium,Small,2.62,Americano
Saturday,Morning,Cold/Snowy,Stressed,With Friends,Home,9.7,High,Iced,Whole Milk,None,Strong,Medium,6.27,Americano
Tuesday,Afternoon,Rainy,Melancholic,Alone,Office,5.9,High,Hot,Whole Milk,High,Medium,Large,3.23,Latte
Sunday,Morning,Sunny,Tired,Alone,Home,5.9,Medium,Hot,None (Black),Low,Medium,Medium,6.85,Americano
Thursday,Evening,Cloudy,Stressed,Alone,Cafe,5.7,Medium,Iced,None (Black),Low,Medium,Large,5.72,Espresso
Saturday,Evening,Sunny,Tired,Alone,Home,5.8,Low,Hot,Almond Milk,None,Strong,Medium,3.65,Americano
Sunday,Afternoon,Rainy,Tired,With Friends,Home,3.0,Medium,Hot,Oat Milk,Low,Light,Medium,3.29,Cappuccino
Wednesday,Night,Cloudy,Tired,Alone,On-the-Go,7.1,Low,Iced,Oat Milk,Medium,Strong,Medium,5.64,Decaf Latte
Monday,Morning,Cold/Snowy,Melancholic,With Friends,Cafe,5.2,Medium,Hot,Whole Milk,High,Strong,Medium,7.0,Flat White
Tuesday,Night,Cloudy,Relaxed,Alone,Home,4.1,Medium,Hot,Whole Milk,High,Light,Medium,6.09,Decaf Latte
Wednesday,Afternoon,Cloudy,Relaxed,Alone,Cafe,7.6,Medium,Hot,Whole Milk,High,Medium,Large,4.24,Flat White
Saturday,Afternoon,Cloudy,Energetic,Alone,Office,4.9,Medium,Hot,None (Black),Low,Strong,Small,5.44,Latte
Saturday,Morning,Cold/Snowy,Tired,On a Date,Cafe,6.0,High,Hot,Whole Milk,High,Strong,Medium,4.05,Espresso
Monday,Evening,Sunny,Tired,With Colleague,Office,8.7,Low,Iced,Whole Milk,Low,Medium,Medium,7.5,Espresso
Thursday,Morning,Sunny,Tired,Alone,Cafe,4.4,High,Iced,None (Black),Medium,Medium,Medium,6.24,Espresso
Wednesday,Morning,Sunny,Energetic,With Colleague,On-the-Go,4.2,Low,Iced,Oat Milk,None,Medium,Medium,5.57,Flat White
Tuesday,Morning,Sunny,Relaxed,With Friends,Home,6.9,Low,Hot,None (Black),Low,Medium,Medium,4.62,Americano
Monday,Afternoon,Cloudy,Energetic,On a Date,Office,8.2,Low,Iced,Whole Milk,High,Medium,Medium,5.59,Americano
Wednesday,Afternoon,Rainy,Tired,Alone,Office,4.1,High,Hot,None (Black),High,Medium,Medium,4.21,Latte
Sunday,Afternoon,Rainy,Tired,With Friends,Home,7.1,Medium,Iced,Whole Milk,Medium,Medium,Medium,2.64,Flat White
Wednesday,Evening,Sunny,Tired,Alone,Home,7.4,High,Hot,None (Black),Medium,Strong,Medium,4.48,Latte
Thursday,Morning,Cloudy,Energetic,Alone,Home,3.4,Medium,Hot,None (Black),None,Strong,Medium,7.15,Americano
Friday,Afternoon,Sunny,Melancholic,On a Date,Office,7.7,Low,Hot,Whole Milk,Medium,Light,Large,5.63,Iced Latte
Wednesday,Morning,Cloudy,Stressed,Alone,Office,7.8,Medium,Hot,Whole Milk,Medium,Strong,Large,2.92,Espresso
Sunday,Evening,Rainy,Relaxed,Alone,Office,6.0,Low,Iced,Whole Milk,None,Medium,Medium,6.92,Americano
Sunday,Evening,Sunny,Energetic,Alone,Home,8.4,High,Iced,None (Black),None,Medium,Small,3.84,Espresso
Tuesday,Afternoon,Sunny,Energetic,With Friends,Office,8.2,Low,Iced,Whole Milk,None,Strong,Medium,3.72,Iced Latte
Thursday,Afternoon,Sunny,Tired,With Friends,On-the-Go,6.7,Medium,Iced,Whole Milk,Medium,Medium,Medium,3.99,Iced Latte
Wednesday,Morning,Cloudy,Relaxed,Alone,Office,5.8,High,Hot,None (Black),None,Light,Large,5.39,Espresso
Tuesday,Morning,Cold/Snowy,Relaxed,On a Date,Office,5.0,High,Hot,Oat Milk,Low,Light,Medium,5.22,Cappuccino
Monday,Evening,Rainy,Tired,Alone,Cafe,6.4,Medium,Iced,Whole Milk,Low,Medium,Large,4.96,Latte
Friday,Morning,Sunny,Energetic,Alone,Cafe,7.4,High,Hot,None (Black),Low,Strong,Medium,6.09,Cappuccino
Thursday,Morning,Rainy,Energetic,With Colleague,Office,6.0,Low,Hot,Almond Milk,Medium,Strong,Medium,4.08,Latte
Monday,Morning,Cloudy,Stressed,Alone,On-the-Go,3.2,High,Iced,Oat Milk,Medium,Strong,Medium,6.41,Espresso
Tuesday,Evening,Cloudy,Melancholic,Alone,Office,8.4,Medium,Hot,Almond Milk,Low,Strong,Small,3.38,Cappuccino
Sunday,Morning,Sunny,Stressed,Alone,On-the-Go,6.8,Low,Hot,Whole Milk,Low,Medium,Medium,6.41,Espresso
Tuesday,Morning,Sunny,Energetic,With Colleague,Home,5.9,Medium,Hot,Whole Milk,Low,Strong,Small,5.82,Latte
Monday,Afternoon,Cloudy,Tired,Alone,Home,7.8,Low,Hot,None (Black),Medium,Light,Medium,5.92,Americano
Thursday,Evening,Sunny,Tired,On a Date,Home,8.8,Medium,Hot,Whole Milk,Low,Strong,Medium,4.91,Flat White
Sunday,Morning,Sunny,Tired,With Colleague,Cafe,3.0,Low,Hot,Almond Milk,None,Medium,Large,5.84,Americano
Tuesday,Morning,Sunny,Tired,Alone,Office,7.2,Medium,Hot,Whole Milk,Medium,Strong,Small,2.9,Americano
Friday,Morning,Rainy,Stressed,With Friends,Home,4.4,High,Hot,Oat Milk,Low,Light,Medium,6.76,Espresso
Saturday,Morning,Cold/Snowy,Stressed,Alone,Home,7.2,Low,Hot,None (Black),Medium,Medium,Large,2.78,Espresso
Tuesday,Morning,Cold/Snowy,Tired,Alone,On-the-Go,6.7,Medium,Iced,Whole Milk,Low,Medium,Large,3.24,Americano
Friday,Afternoon,Rainy,Relaxed,With Colleague,Cafe,7.5,Medium,Hot,Almond Milk,Medium,Strong,Medium,5.38,Cappuccino
Wednesday,Afternoon,Rainy,Tired,On a Date,Office,5.8,High,Hot,Oat Milk,None,Strong,Medium,6.2,Latte
Friday,Afternoon,Sunny,Tired,Alone,Office,3.7,Medium,Hot,Almond Milk,Low,Medium,Medium,2.88,Americano
Friday,Morning,Rainy,Tired,Alone,Office,5.8,Medium,Hot,Oat Milk,Low,Medium,Medium,7.1,Espresso
Thursday,Evening,Sunny,Energetic,Alone,Office,7.1,Medium,Hot,Whole Milk,Medium,Medium,Medium,7.37,Cold Brew
Monday,Morning,Rainy,Tired,Alone,On-the-Go,8.0,Medium,Hot,Whole Milk,High,Light,Medium,5.53,Americano
Saturday,Night,Sunny,Energetic,Alone,Home,4.7,Low,Iced,Almond Milk,Low,Light,Medium,4.91,Decaf Latte
Wednesday,Afternoon,Sunny,Energetic,Alone,Office,8.0,Medium,Hot,Whole Milk,Medium,Light,Medium,6.21,Cold Brew
Tuesday,Morning,Sunny,Melancholic,With Friends,Office,5.5,Low,Iced,None (Black),Medium,Medium,Small,4.14,Latte
Monday,Afternoon,Sunny,Tired,Alone,Office,7.0,Medium,Hot,Whole Milk,High,Strong,Medium,4.97,Espresso
Friday,Morning,Sunny,Tired,Alone,Office,5.7,Medium,Hot,Whole Milk,Medium,Strong,Medium,7.08,Espresso
Friday,Afternoon,Sunny,Tired,With Colleague,Office,6.8,Medium,Hot,None (Black),None,Light,Medium,7.28,Iced Latte
Monday,Morning,Cold/Snowy,Stressed,With Colleague,Home,7.8,Low,Iced,Whole Milk,Medium,Light,Small,7.14,Espresso
Thursday,Morning,Rainy,Tired,Alone,Office,4.7,High,Hot,None (Black),Low,Light,Medium,3.81,Americano
Tuesday,Evening,Rainy,Relaxed,Alone,Home,5.5,High,Hot,Whole Milk,None,Medium,Large,3.66,Flat White
Friday,Morning,Cold/Snowy,Energetic,With Friends,Home,6.8,Low,Hot,Oat Milk,None,Light,Medium,3.99,Latte
Tuesday,Evening,Cold/Snowy,Energetic,Alone,Home,10.0,Medium,Iced,Whole Milk,High,Medium,Small,4.71,Latte
Friday,Morning,Rainy,Stressed,Alone,Cafe,5.2,Medium,Iced,Oat Milk,High,Medium,Medium,4.07,Espresso
Wednesday,Afternoon,Cloudy,Tired,With Friends,Office,9.6,Low,Iced,None (Black),Medium,Medium,Medium,4.37,Cappuccino
Sunday,Afternoon,Sunny,Tired,Alone,Office,9.5,Medium,Hot,Almond Milk,High,Medium,Medium,5.6,Cappuccino
Monday,Afternoon,Sunny,Tired,Alone,Cafe,6.4,Medium,Hot,None (Black),Medium,Medium,Medium,6.31,Cold Brew
Wednesday,Morning,Rainy,Stressed,Alone,Cafe,6.1,High,Iced,None (Black),None,Medium,Large,6.18,Espresso
Monday,Morning,Cloudy,Tired,Alone,Office,5.5,High,Hot,Oat Milk,None,Strong,Small,6.57,Espresso
Sunday,Morning,Cloudy,Tired,Alone,Office,6.4,Medium,Hot,Oat Milk,None,Medium,Medium,2.66,Americano
Saturday,Morning,Sunny,Melancholic,On a Date,Office,4.4,Medium,Iced,None (Black),None,Light,Large,2.74,Cappuccino
Tuesday,Afternoon,Sunny,Tired,Alone,Office,6.4,High,Hot,Almond Milk,None,Medium,Large,6.45,Cappuccino
Friday,Evening,Rainy,Relaxed,Alone,Office,8.7,High,Iced,Whole Milk,Low,Light,Small,5.17,Espresso
Saturday,Evening,Sunny,Relaxed,Alone,Cafe,5.6,High,Hot,Almond Milk,Medium,Medium,Medium,5.39,Flat White
Thursday,Afternoon,Rainy,Tired,On a Date,On-the-Go,6.1,Low,Hot,Whole Milk,Medium,Light,Small,2.76,Latte
Thursday,Afternoon,Cloudy,Tired,Alone,Home,3.9,Low,Hot,Whole Milk,Medium,Medium,Medium,3.78,Latte
Tuesday,Afternoon,Cloudy,Tired,Alone,Home,7.1,Medium,Iced,Whole Milk,High,Light,Small,5.69,Latte
Monday,Morning,Cloudy,Stressed,With Colleague,Office,6.9,Medium,Hot,None (Black),Low,Medium,Large,6.8,Espresso
Sunday,Evening,Cold/Snowy,Stressed,Alone,Office,6.6,Low,Hot,Whole Milk,Medium,Decaf,Small,7.08,Cappuccino
Sunday,Afternoon,Rainy,Relaxed,Alone,Home,6.2,Low,Iced,Whole Milk,Low,Medium,Medium,5.0,Espresso
Friday,Afternoon,Cloudy,Melancholic,Alone,On-the-Go,6.1,High,Hot,None (Black),None,Light,Medium,5.23,Cold Brew
Wednesday,Morning,Rainy,Stressed,Alone,Home,7.3,High,Hot,None (Black),High,Decaf,Large,6.67,Espresso
Wednesday,Morning,Sunny,Tired,Alone,On-the-Go,6.5,Medium,Iced,None (Black),Low,Strong,Medium,5.19,Espresso
Friday,Morning,Sunny,Tired,With Friends,Cafe,7.0,High,Iced,Oat Milk,Low,Medium,Medium,5.08,Espresso
Sunday,Evening,Sunny,Relaxed,Alone,Cafe,6.8,Medium,Hot,Whole Milk,Low,Light,Medium,7.03,Flat White
Sunday,Afternoon,Rainy,Tired,With Friends,Home,8.2,High,Hot,Oat Milk,Medium,Medium,Small,6.45,Americano
Saturday,Morning,Rainy,Tired,Alone,Home,7.5,Medium,Iced,Almond Milk,High,Medium,Medium,7.05,Americano
Friday,Night,Cloudy,Stressed,Alone,Office,6.8,Low,Hot,Whole Milk,None,Medium,Medium,3.59,Decaf Latte
Monday,Morning,Sunny,Energetic,Alone,Home,8.8,Medium,Iced,Almond Milk,Medium,Medium,Medium,5.12,Latte
Tuesday,Morning,Sunny,Melancholic,On a Date,Office,7.1,Medium,Hot,None (Black),None,Strong,Small,6.71,Americano
Sunday,Morning,Cold/Snowy,Stressed,Alone,Office,8.5,Medium,Iced,None (Black),Low,Light,Medium,3.06,Espresso
Friday,Afternoon,Sunny,Tired,With Friends,Home,7.4,Low,Hot,Whole Milk,None,Medium,Medium,6.47,Iced Latte
Monday,Evening,Rainy,Melancholic,Alone,Home,3.7,High,Hot,Whole Milk,Medium,Medium,Large,3.41,Latte
Monday,Morning,Rainy,Tired,Alone,Cafe,8.5,Low,Hot,Oat Milk,None,Strong,Medium,6.54,Espresso
Friday,Evening,Rainy,Tired,Alone,Home,6.7,Low,Hot,Whole Milk,Low,Strong,Medium,5.56,Cappuccino
Monday,Morning,Sunny,Energetic,Alone,Home,6.4,Medium,Hot,None (Black),None,Strong,Medium,3.47,Flat White
